NUM,MUSIQUE,NOM_FICHIER,JOUE,NUMERISATION,NBR_VERSIONS,NBR-IMPRESSIONS
1,FAIRE LA FÊTE,001.pdf,1,1,1,1
2,LE LION EST MORT CE SOIR,002.pdf,1,1,1,1
3,MUZTAFA,003.pdf,1,1,1,1
4,PAQUITO CHOCOLATERO,004.pdf,1,1,1,1
5,BETHI BESTAN,005.pdf,0,1,1,0
6,ADELLITA,006.pdf,1,1,1,1
7,I WILL FOLLOW HIM,007.pdf,1,1,1,1
8,PIRANHAS,008.pdf,1,1,1,1
9,LA MANTA AL COLL,009.pdf,0,1,1,0
10,VINO GRIEGO,010.pdf,1,1,1,1
11,EL CHULLA QUIETENO,011.pdf,1,1,1,1
12,LA MOTO,012.pdf,1,1,1,1
13,GONZALES,013.pdf,1,1,1,1
14,POTTOKA,014.pdf,1,1,1,1
15,LE SPORT ROI,015.pdf,1,1,2,2
16,DEL CANTON AL PORTILLO,016.pdf,1,1,1,1
17,CALLE SIERPES,017.pdf,1,1,1,1
18,LA BANBA,018.pdf,1,1,1,1
19,LA PITTXURI,019.pdf,1,1,1,1
20,ARRANTZALEAC BEBER,020.pdf,1,1,1,1
21,NIMES FERIA 50,021.pdf,0,1,1,0
22,EL CHUPINAZO,022.pdf,0,1,1,0
23,GUK EUSKARAZ,023.pdf,1,1,1,1
24,LA FÊTE AUX SAPAJOUX,024.pdf,0,1,1,0
25,LE TEMPS DES FLEURS,025.pdf,1,1,1,1
26,LES PÉLERINS DE NAVARRES,026.pdf,1,1,1,1
27,AFICION,027.pdf,0,1,1,0
28,MISIRLOU,028.pdf,1,1,1,1
29,EMMENEZ-MOI,029.pdf,1,1,1,1
30,JUAN SIN TIERRA,030.pdf,0,1,1,0
31,LA MARMITE,031.pdf,0,1,1,0
32,INCENDIE À RIO,032.pdf,0,1,1,0
33,LA COLLEGIALA,033.pdf,1,1,1,1
34,UNE CHANSON DOUCE,034.pdf,0,1,1,0
35,CE N'EST QU'UN AU REVOIR,035.pdf,0,1,1,0
36,WHEN THE SAINTS,036.pdf,1,1,1,1
37,LA CALANDRIA,037.pdf,1,1,1,1
38,ALINE,038.pdf,1,1,1,1
39,HAVA NARGUILE,039.pdf,1,1,1,1
40,CASATSCHOK,040.pdf,1,1,1,1
41,MÉTÉO,041.pdf,1,1,1,1
42,LES FÊTES DE MAULEON,042.pdf,1,1,1,1
43,SOIXANTIEME RUE,043.pdf,1,1,1,1
44,LE TÉLÉFON,044.pdf,0,1,1,0
45,HIPPO,045.pdf,1,1,1,1
46,LE PETIT BONHOMME,046.pdf,1,1,1,1
47,PEDRO,047.pdf,1,1,1,1
48,CHIHUAHUA,048.pdf,0,1,1,0
49,TROMPETTE FLAMENCO,049.pdf,1,1,1,1
50,JOYEUX ANNIVERSAIRE,050.pdf,1,1,1,1
51,SANTIANO,051.pdf,1,1,1,1
52,GO WEST,052.pdf,1,1,1,1
53,EL POROMPOMPERO,053.pdf,1,1,1,1
54,CITY OF NEW ORLÉANS,054.pdf,1,1,1,1
55,PATRICK SEBASTIEN,055.pdf,0,1,1,0
56,SPAGHETTI,056.pdf,1,1,1,1
57,BRAZIL-ESPANA,057.pdf,1,1,1,1
58,DANS LES RUES D'ANTIBES,058.pdf,0,1,1,0
59,AMSTRONG,059.pdf,1,1,1,1
60,LA VENTE AUX ENCHERES,060.pdf,0,1,1,0
61,IL EST UN COIN DE FRANCE,061.pdf,1,1,1,1
62,SALADE DE FRUITS,062.pdf,0,1,1,0
63,LES COPAINS D’ABORD,063.pdf,1,1,1,1
64,RABBI JACOB,064.pdf,0,1,1,0
65,AMAZIG GRACE,065.pdf,1,1,1,1
66,HEGOAK,066.pdf,1,1,1,1
67,HOUMPALILI,067.pdf,1,1,1,1
68,EL ROBLE,068.pdf,0,1,1,0
69,?,,0,,,0
70,?,,0,,,0
71,LIVE IS LIFE,071.pdf,1,1,1,1
72,HERE WE GO,072.pdf,1,1,1,1
73,L'ENCANTADA BANDA,073.pdf,1,1,1,1
74,LA VACHE,074.pdf,1,1,1,1
75,LES PATATES,075.pdf,0,1,1,0
76,MADISON,076.pdf,1,1,1,1
77,LES LACS DU CONEMARA,077.pdf,0,1,1,0
78,LA HESTA BANDA,078.pdf,1,1,1,1
79,LE RAG DES TROMBONES,079.pdf,0,1,1,0
80,LES SARDINES,080.pdf,1,1,1,1
81,LA BALLADE NORD-IRLANDAISE,081.pdf,1,1,1,1
82,ACDC,082.pdf,1,1,1,1
83,L’AVENTURIER,083.pdf,1,1,1,1
84,?,,0,,,0
85,L’ENVIE,085.pdf,1,1,1,1
86,AKA,,0,,,0
87,SEVEN NATION ARMY,087.pdf,1,1,1,1
88,DANS LES YEUX D'ÉMILIE 3,088.pdf,1,1,1,1
89,LES CORONS,089.pdf,1,1,1,1
90,?,,0,,,0
91,LA BALADE DES GENS HEUREUX,091.pdf,1,1,1,1
92,TORNERO,092.pdf,1,1,1,1
93,AGUR,093.pdf,1,1,2,2
94,MAGIC IN THE AIR,094.pdf,1,1,1,1
95,XARAMELAZ,,0,,,0
96,DERECHO DE ADMISION,096.pdf,1,1,1,1
97,?,,0,,,0
98,REET PETITE,098.pdf,1,1,1,1
99,RIVER PF BABYLONE 2,099.pdf,1,1,1,1
100,WE WILL ROCK YOU,100.pdf,1,1,1,1
101,SOFIA,101.pdf,1,1,1,1
102,LE JOUR LE PLUS LONG,102.pdf,1,1,1,1
103,À NOS SOUVENIRS,103.pdf,1,1,2,2
104,LA BALLADE DES BLEUETS,104.pdf,1,1,1,1
105,BELLA CIAO,105.pdf,1,1,1,1
106,VIVA LA VIDA,106.pdf,1,1,1,1
107,THE KIDS AREN'T ALRIGHT,107.pdf,1,1,1,1
108,JE T’EMMENE AU VENT,108.pdf,1,1,1,1
109,UN HOMME DEBOUT,109.pdf,1,1,1,1
110,COMMENT CA VA,110.pdf,1,1,2,2
111,JE N’AURAI PAS LE TEMPS,111.pdf,1,1,2,2
112,CANON ROCK,112.pdf,1,1,5,5
113,SAUMON,113.pdf,1,1,1,1
114,POUR UN FLIRT,114.pdf,1,1,1,1
115,LA JUMENT DE MICHAO,115.pdf,1,1,1,1
116,ON ÉCRIT SUR LES MURS 2,116.pdf,1,1,1,1
117,LE REGGAE,117.pdf,1,1,1,1
118,PARTENAIRE PARTICULIER,118.pdf,1,1,1,1
119,SUR LES SENTIERS DU MOUDANG (BERGER),119.pdf,1,1,1,1
120,MAULÉON 2,120.pdf,1,1,1,1
121,LA GOFFA LOLITA,121.pdf,1,1,1,1
122,PORQUE TE VAS,122.pdf,1,1,1,1
123,FREE FROM DESIRE,123.pdf,1,1,2,2
124,LA MONTAGNE,124.pdf,1,1,1,1
125,SOUVENIR SOUVENIR,125.pdf,1,1,1,1
126,HALLELUJAH,126.pdf,1,1,1,1
127,I WILL SURVIVE,127.pdf,1,1,1,1
128,DANCE MONKEY,128.pdf,1,1,1,1
129,MEDDLEY JOE DASSIN,129.pdf,1,1,3,3
130,TE AMO,130.pdf,1,1,2,2
131,LA PIEMONTAISE,131.pdf,1,1,1,1
?,ANIMATION BLEUETS,_ANIMATION-BLEUETS.pdf,1,1,1,1
?,COUNTRY ROADS,_COUNTRY-ROADS.pdf,1,1,3,3
?,JERUSALEMA,_JERUSALEMA.pdf,1,1,1,1
?,KOKOLITXO,_KOKOLITXO.pdf,1,1,1,1
?,L'AMÉRIQUE,_L-AMERIQUE.pdf,1,1,1,1
?,LE RICARD,_LE-RICARD.pdf,1,1,1,1
?,OH PETARD,_OH-PETARD.pdf,1,1,1,1
?,QUAND LA MUSIQUE EST BONNE,_QUAND-LA-MUSIQUE-EST-BONNE.pdf,1,1,1,1
?,QUE BOLA,_QUE-BOLA.pdf,1,1,1,1
?,STAND BY ME,_STAND-BY-ME.pdf,1,1,1,1
0-1,LA MARSEILLAISE,000-1.pdf,1,1,1,1
0-2,LE CHANT DES PARTISANS,000-2.pdf,1,1,1,1
,,,114,136,151,129
